,Addresses,Lat,Lng
0,"920 E Duane Avenue,Sunnyvale,CA",37.3883917,-122.0048139
1,"1110 Lessing Terrace,Sunnyvale,CA",37.35521,-122.028577
2,"943 La Mesa Terrace #B,Sunnyvale,CA",37.3850735,-122.0406586
3,"939 La Mesa Terrace #G,Sunnyvale,CA",37.384933,-122.0407015
4,"1110 Karby Terrace #304,Sunnyvale,CA",37.4048189,-122.0125776
5,"224 E Red Oak Drive #L,Sunnyvale,CA",37.3712329,-122.0086923
6,"483 Texas Oak Terrace,Sunnyvale,CA",37.369182,-121.99975
7,"607 Arcadia Terrace #303,Sunnyvale,CA",37.3923928,-122.0128347
8,"880 E Fremont Avenue #711,Sunnyvale,CA",37.3508176,-122.0160317
9,"483 Wild Cherry Terrace,Sunnyvale,CA",37.36919100000001,-121.997433
10,"250 Santa Fe Terrace #308,Sunnyvale,CA",37.3808927,-122.016799
11,"617 Arcadia Terrace #302,Sunnyvale,CA",37.3923105,-122.0116414
12,"883 Payne Ct,Sunnyvale,CA",37.3637387,-122.0486976
13,"883 Payne Court,Sunnyvale,CA",37.3637387,-122.0486976
14,"1132 Prunelle Court,Sunnyvale,CA",37.3585329,-122.0441738
15,"1531 Lewiston Drive,Sunnyvale,CA",37.3430468,-122.0454342
16,"1129 Reinclaud Court,Sunnyvale,CA",37.358467,-122.0437696
17,"1648 Lachine Drive,Sunnyvale,CA",37.3396786,-122.0449014
18,"1198 Pomelo Court,Sunnyvale,CA",37.3547965,-122.0448126
19,"1232 Mandarin Drive,Sunnyvale,CA",37.3546396,-122.051983
20,"835 Nisqually Drive,Sunnyvale,CA",37.3407232,-122.0452344
21,"919 Coeur D Alene Way,Sunnyvale,CA",37.345797,-122.0518054
22,"1467 Nome Court,Sunnyvale,CA",37.3455149,-122.0427924
23,"1477 Lewiston Drive,Sunnyvale,CA",37.3460059,-122.0457672
24,"1473 Prince Edward Way,Sunnyvale,CA",37.3458562,-122.0388629
25,"1397 Bedford Avenue,Sunnyvale,CA",37.3479494,-122.06357
26,"976 Gerber Court,Sunnyvale,CA",37.3423595,-122.0534925
27,"758 Saranac Drive,Sunnyvale,CA",37.3584414,-122.0452344
28,"1737 Wright Avenue,Sunnyvale,CA",37.335653,-122.0553127
29,"1094 Robbia Drive,Sunnyvale,CA",37.35496029999999,-122.0215667
30,"1554 Ashcroft Way,Sunnyvale,CA",37.3426997,-122.0639252
31,"1443 Bobwhite Avenue,Sunnyvale,CA",37.3466635,-122.0272288
32,"807 Louise Drive,Sunnyvale,CA",37.338586,-122.0463444
33,"1561 Magpie Lane,Sunnyvale,CA",37.3432603,-122.0164151
34,"1059 Merrimac Drive,Sunnyvale,CA",37.3616551,-122.0552239
35,"1406 Hampton Drive,Sunnyvale,CA",37.34812429999999,-122.0129072
36,"1561 Barton Drive,Sunnyvale,CA",37.3425308,-122.0636144
37,"746 Devonshire Way,Sunnyvale,CA",37.3457804,-122.0206341
38,"1087 Noriega Avenue,Sunnyvale,CA",37.3785724,-122.0494079
39,"1502 Blackhawk Drive,Sunnyvale,CA",37.3445991,-122.0290939
40,"515 Humber Court,Sunnyvale,CA",37.3421571,-122.0285388
41,"813 Anshen Court,Sunnyvale,CA",37.360251,-122.017291
42,"829 Duncardine Way,Sunnyvale,CA",37.3454439,-122.0173922
43,"887 Poppy Court,Sunnyvale,CA",37.3590152,-122.0069994
44,"1129 Royal Ann Court,Sunnyvale,CA",37.3576812,-122.0407278
45,"707 Nutmeg Avenue,Sunnyvale,CA",37.37021110000001,-122.0484534
46,"955 Eton Way,Sunnyvale,CA",37.3450681,-122.0104194
47,"1422 Bobwhite Avenue,Sunnyvale,CA",37.34811699999999,-122.02714
48,"622 Templeton Court,Sunnyvale,CA",37.3572721,-122.0380414
49,"1072 Freestone Avenue,Sunnyvale,CA",37.3609203,-122.0575325
50,"749 Islay Court,Sunnyvale,CA",37.3407836,-122.0201456
51,"1091 Clematis Drive,Sunnyvale,CA",37.3656563,-122.0008477
52,"1606 Peacock Avenue,Sunnyvale,CA",37.3412441,-122.0069106
53,"705 Hebrides Way,Sunnyvale,CA",37.3429433,-122.0217
54,"790 Dartshire Way,Sunnyvale,CA",37.346512,-122.0190798
55,"1120 London Avenue,Sunnyvale,CA",37.3380423,-121.9997151
56,"1410 S Bernardo Avenue,Sunnyvale,CA",37.3473224,-122.0593083
57,"1125 Royal Ann Court,Sunnyvale,CA",37.3578045,-122.0408166
58,"160 Caymus Court,Sunnyvale,CA",37.382359,-122.0514058
59,"1562 Warbler Avenue,Sunnyvale,CA",37.34085779999999,-121.9978495
60,"1741 Linnet Lane,Sunnyvale,CA",37.335643,-122.0167704
61,"734 Henderson Avenue,Sunnyvale,CA",37.3633022,-122.0047342
62,"922 Eton Way,Sunnyvale,CA",37.3445325,-122.0121959
63,"1126 Strawberry Court,Sunnyvale,CA",37.3573483,-122.0361099
64,"591 Bryan Avenue,Sunnyvale,CA",37.3731017,-122.0216556
65,"1033 Robin Way,Sunnyvale,CA",37.362839,-122.0609952
66,"1146 Lillick Drive,Sunnyvale,CA",37.3484222,-122.0002259
67,"1350 S Bernardo Avenue,Sunnyvale,CA",37.3501858,-122.0593971
68,"1130 Strawberry Court,Sunnyvale,CA",37.3571499,-122.0360211
69,"1556 Murre Lane,Sunnyvale,CA",37.3428319,-122.0121071
70,"852 Grape Avenue,Sunnyvale,CA",37.3666281,-122.0550464
71,"1462 Firebird Way,Sunnyvale,CA",37.3464327,-122.0224549
72,"1017 Nandina Way,Sunnyvale,CA",37.3603977,-122.0073326
73,"826 Dartshire Way,Sunnyvale,CA",37.3465276,-122.0176586
74,"788 Mayten Tree Court,Sunnyvale,CA",37.3633827,-122.0120627
75,"594 E Fremont Avenue,Sunnyvale,CA",37.3518832,-122.0265405
76,"1047 S Bernardo Avenue,Sunnyvale,CA",37.3623352,-122.0599298
77,"370 Pismo Terrace,Sunnyvale,CA",37.375877,-122.0416824
78,"572 Manzanita Avenue,Sunnyvale,CA",37.3897404,-122.0259632
79,"1686 Meadowlark Lane,Sunnyvale,CA",37.3387081,-122.0129506
80,"935 Kennard Way,Sunnyvale,CA",37.3409708,-122.0099974
81,"902 Bluebonnet Drive,Sunnyvale,CA",37.3672255,-122.0132618
82,"1003 Fuller Terrace,Sunnyvale,CA",37.3790353,-122.0463222
83,"775 San Diego Avenue,Sunnyvale,CA",37.3953929,-122.0216556
84,"1566 S Bernardo Avenue,Sunnyvale,CA",37.3421798,-122.0593083
85,"1029 Gloucester Court,Sunnyvale,CA",37.3425607,-122.0061556
86,"797 Durshire Way,Sunnyvale,CA",37.3446976,-122.0190576
87,"185 N Sunnyvale Avenue,Sunnyvale,CA",37.3802572,-122.0279171
88,"163 W Arques Avenue,Sunnyvale,CA",37.3841868,-122.0290717
89,"1595 S Wolfe Road,Sunnyvale,CA",37.3417079,-122.0145276
90,"1029 Reed Avenue,Sunnyvale,CA",37.367043,-122.0047787
91,"615 Pine Avenue,Sunnyvale,CA",37.39239370000001,-122.0289829
92,"1319 Socorro Avenue,Sunnyvale,CA",37.3922808,-121.9882323
93,"891 Lori Avenue,Sunnyvale,CA",37.38472489999999,-122.0395955
94,"1626 S Wolfe Road,Sunnyvale,CA",37.34070579999999,-122.013928
95,"765 Lakeknoll Drive,Sunnyvale,CA",37.395029,-122.0029576
96,"677 Cypress Avenue,Sunnyvale,CA",37.387941,-122.0133951
97,"1129 Tucson Avenue,Sunnyvale,CA",37.394417,-121.993321
98,"874 Lakeknoll Drive,Sunnyvale,CA",37.3950028,-121.9998705
99,"930 Lakewood Drive,Sunnyvale,CA",37.3933013,-121.9973609
100,"866 Lakewood Drive,Sunnyvale,CA",37.3925995,-121.9993153
101,"1257 Manzano Way,Sunnyvale,CA",37.3949036,-121.9871884
102,"1326 Socorro Avenue,Sunnyvale,CA",37.3917837,-121.9886988
103,"1181 Pecos Way,Sunnyvale,CA",37.3986958,-121.9921637
104,"230 Velvetlake Drive,Sunnyvale,CA",37.392907,-121.9964281
105,"905 Almaden Avenue,Sunnyvale,CA",37.3921625,-122.0043123
106,"481 Ives Terrace,Sunnyvale,CA",37.3606192,-122.0295935
107,"1266 W Fremont Terrace,Sunnyvale,CA",37.3534073,-122.0477836
108,"190 Barranca Terrace,Sunnyvale,CA",37.3813004,-122.0539886
109,"1159 La Rochelle Terrace #G,Sunnyvale,CA",37.404354,-122.012542
110,"1056 Doheny Terrace,Sunnyvale,CA",37.3882239,-121.9978271
111,"1064 Doheny Terrace,Sunnyvale,CA",37.3882001,-121.9976201
112,"1214 Crescent Terrace,Sunnyvale,CA",37.354447,-122.025219
113,"1077 El Capitan Terrace,Sunnyvale,CA",37.38797479999999,-121.9970529
114,"585 Old San Francisco Road #2,Sunnyvale,CA",37.367685,-122.0238209
115,"1374 Sydney Drive,Sunnyvale,CA",37.3493991,-122.0344003
116,"975 La Mesa Terrace #F,Sunnyvale,CA",37.3857147,-122.0417142
117,"1043 Jena Terrace,Sunnyvale,CA",37.3987261,-122.0148466
118,"582 Kiholo Terrace,Sunnyvale,CA",37.401615,-122.011626
119,"986 Alpine Terrace #3,Sunnyvale,CA",37.383506,-122.0422692
120,"432 N Bayview Avenue,Sunnyvale,CA",37.385246,-122.022708
121,"235 Peppermint Tree Terrace #6,Sunnyvale,CA",37.3713303,-122.0134415
122,"580 De Guigne Drive,Sunnyvale,CA",37.3875139,-122.0036441
123,"962 Belmont Terrace #4,Sunnyvale,CA",37.3838242,-122.0414786
124,"125 Connemara Way #56,Sunnyvale,CA",37.345576,-122.0307516
125,"991 La Mesa Terrace #D,Sunnyvale,CA",37.3858724,-122.0428242
126,"1237 Henderson Avenue #F,Sunnyvale,CA",37.3538242,-122.0060307
127,"1235 Henderson Avenue #E,Sunnyvale,CA",37.35398199999999,-122.005387
128,"759 Brea Terrace,Sunnyvale,CA",37.390245,-122.009488
129,"640 S Ahwanee Terrace,Sunnyvale,CA",37.3938503,-122.0109412
130,"857 Carlisle Way #128,Sunnyvale,CA",37.3489753,-122.0162466
131,"632 Antioch Terrace,Sunnyvale,CA",37.394108,-122.01181
132,"627 S Ahwanee Terrace,Sunnyvale,CA",37.393994,-122.011206
133,"662 N Ahwanee Terrace,Sunnyvale,CA",37.394393,-122.010724
